****Header****
date 01/15/25 03:41:35
****Body****

All possible value of one measure

Algorithm: SmartSweep_HL#1736329709
AlphaMC:	   0.0000
CalibAuthor: eng
CalibCheckAuthor: N/A
CalibValidity:	invalid
ClassBinID:	   1
ClassID:	N/A
ClassName:	TP540HG10-8000011182
Eff:	   0.2104
Emissivity:	   1.0000
FF:	   0.8001
Fcp:	   1.0270
FcsCC:	   1.0031
FcsMC:	   1.0013
Fcv:	   0.9998
FlashCountAtLastCalib:	1793620
FlashCountAtLastCalibCheck:	N/A
Gavg:	1000.5679
Gtgt:	1000.0000
InstID:	1736329709
InstName: New Sec Cal A8BC4CB
InstType: TP540HG10
InstComment: Silver
Ipmax:	  12.9431
Iref1:	  13.5869
Iref2:	N/A
Isc:	  13.5889
Ivrev1:	N/A
Ivrev2:	N/A
LTI:	   0.0013
LastCalibTime: 2025-01-14 17:38:01
LastCheckTime: N/A
MachStatus:	At Risk
MeasDate:	2025-01-15 03:41:35.666000
MeasStatus:	Ok
Mep: MepSmartSweep
Now: 2025-01-15 03:41:35.918000
Pmax:	 542.1232
Pref1:	   0.0000
Pref2:	N/A
RefDUTIsc:	  13.4160
RefDUTName: New Sec Cal A8BC4CB
RefDUTPmax:	 534.0300
RefDUTSnr:	A8BC4CB
RefDUTType:	Golden
RefDUTVoc:	  49.3210
RemFlashCountForCalib:	1747.0000
Rs:	   0.2720
Rsh:  565.7328
Snr: A8C7A0E
SortingRcpID:	1697254895
SortingRcpName:	TP540 30MM-AIKO-Short cable white tedler(Non DCR)
TempDUT:	  23.6186
TempMC:	  24.4821
TempTgt:   25.0000
Transmissivity:	   1.0000
UserDisplayName: 
UserName: 
UserRole: ENGINEER
Voc:	  49.8642
Vpmax:	  41.8852
Vref1:	N/A
Vrev1:	N/A
Vrev2:	N/A
sessionId: 02415532-7137-41ee-a89a-a185c0f83599

-----------------------

IV curve data :

TimeOffset,Vimp,Iraw,Vraw,Graw,Current,Voltage,Irradiance
0.0022,16.4286,13.5470,19.6842,999.8723,13.5569,19.8999,999.8723
0.0022,16.5796,13.5470,19.8531,999.8723,13.5569,20.0725,999.8723
0.0022,16.7285,13.5450,19.9904,1000.1063,13.5517,20.2134,1000.1063
0.0022,16.8771,13.5430,20.1594,999.8723,13.5529,20.3849,999.8723
0.0022,17.0258,13.5450,20.3072,999.9893,13.5533,20.5365,999.9893
0.0023,17.1744,13.5450,20.4445,999.9308,13.5541,20.6765,999.9308
0.0023,17.3231,13.5430,20.5923,999.9308,13.5521,20.8274,999.9308
0.0023,17.4717,13.5411,20.7613,999.8723,13.5510,20.9996,999.8723
0.0023,17.6204,13.5430,20.9197,1000.1648,13.5490,21.1626,1000.1648
0.0023,17.7690,13.5411,21.0569,1000.1063,13.5478,21.3024,1000.1063
0.0023,17.9177,13.5411,21.2048,1000.1648,13.5470,21.4536,1000.1648
0.0023,18.0663,13.5411,21.3421,1000.2234,13.5462,21.5940,1000.2234
0.0023,18.2150,13.5391,21.5110,999.8723,13.5490,21.7652,999.8723
0.0023,18.3636,13.5391,21.6800,999.7553,13.5506,21.9373,999.7553
0.0023,18.5123,13.5430,21.8173,1000.1063,13.5498,22.0791,1000.1063
0.0023,18.6585,13.5430,21.9862,1000.1648,13.5490,22.2519,1000.1648
0.0023,18.8019,13.5411,22.1446,1000.1648,13.5470,22.4135,1000.1648
0.0023,18.9453,13.5391,22.2713,1000.1063,13.5458,22.5426,1000.1063
0.0023,19.0887,13.5352,22.4086,1000.1063,13.5419,22.6825,1000.1063
0.0023,19.2321,13.5391,22.5881,1000.3404,13.5426,22.8670,1000.3404
0.0023,19.3755,13.5352,22.7148,1000.2234,13.5403,22.9957,1000.2234
0.0023,19.5189,13.5372,22.8944,1000.1063,13.5439,23.1787,1000.1063
0.0023,19.6623,13.5352,23.0105,1000.3404,13.5387,23.2981,1000.3404
0.0023,19.8057,13.5411,23.1689,1000.2819,13.5454,23.4601,1000.2819
