****Header****
date 01/15/25 03:03:53
****Body****

All possible value of one measure

Algorithm: SmartSweep_HL#1736329709
AlphaMC:	   0.0000
CalibAuthor: eng
CalibCheckAuthor: N/A
CalibValidity:	invalid
ClassBinID:	   1
ClassID:	N/A
ClassName:	TP540HG10-8000011182
Eff:	   0.2098
Emissivity:	   1.0000
FF:	   0.7974
Fcp:	   1.0270
FcsCC:	   1.0031
FcsMC:	   1.0013
Fcv:	   0.9998
FlashCountAtLastCalib:	1793620
FlashCountAtLastCalibCheck:	N/A
Gavg:	1000.5107
Gtgt:	1000.0000
InstID:	1736329709
InstName: New Sec Cal A8BC4CB
InstType: TP540HG10
InstComment: Silver
Ipmax:	  12.9025
Iref1:	  13.5782
Iref2:	N/A
Isc:	  13.5792
Ivrev1:	N/A
Ivrev2:	N/A
LTI:	   0.0013
LastCalibTime: 2025-01-14 17:38:01
LastCheckTime: N/A
MachStatus:	At Risk
MeasDate:	2025-01-15 03:03:53.678000
MeasStatus:	Ok
Mep: MepSmartSweep
Now: 2025-01-15 03:03:53.877000
Pmax:	 540.5840
Pref1:	   0.0000
Pref2:	N/A
RefDUTIsc:	  13.4160
RefDUTName: New Sec Cal A8BC4CB
RefDUTPmax:	 534.0300
RefDUTSnr:	A8BC4CB
RefDUTType:	Golden
RefDUTVoc:	  49.3210
RemFlashCountForCalib:	1792.0000
Rs:	   0.2799
Rsh:  582.0489
Snr: A8C7A02
SortingRcpID:	1697254895
SortingRcpName:	TP540 30MM-AIKO-Short cable white tedler(Non DCR)
TempDUT:	  25.9966
TempMC:	  24.4821
TempTgt:   25.0000
Transmissivity:	   1.0000
UserDisplayName: 
UserName: 
UserRole: ENGINEER
Voc:	  49.9240
Vpmax:	  41.8977
Vref1:	N/A
Vrev1:	N/A
Vrev2:	N/A
sessionId: 7a6a6e3d-4c26-44f3-aec8-d61bb2f08982

-----------------------

IV curve data :

TimeOffset,Vimp,Iraw,Vraw,Graw,Current,Voltage,Irradiance
0.0019,5.7069,13.5725,8.7230,999.8138,13.5692,9.0525,999.8138
0.0019,5.8579,13.5686,8.8709,999.5798,13.5684,9.2023,999.5798
0.0019,6.0089,13.5686,9.0292,999.5798,13.5684,9.3641,999.5798
0.0019,6.1599,13.5647,9.1982,999.5798,13.5645,9.5363,999.5798
0.0019,6.3109,13.5666,9.3249,999.9308,13.5617,9.6672,999.9308
0.0019,6.4619,13.5686,9.4939,999.1702,13.5740,9.8371,999.1702
0.0019,6.6130,13.5666,9.6523,999.3457,13.5696,9.9993,999.3457
0.0019,6.7640,13.5666,9.8001,999.8138,13.5633,10.1521,999.8138
0.0019,6.9150,13.5666,9.9480,999.8723,13.5625,10.3033,999.8723
0.0019,7.0660,13.5725,10.1064,999.9893,13.5668,10.4660,999.9893
0.0019,7.2170,13.5745,10.2648,1000.0478,13.5680,10.6282,1000.0478
0.0019,7.3680,13.5686,10.4020,999.8723,13.5645,10.7672,999.8723
0.0019,7.5190,13.5666,10.5710,999.9893,13.5609,10.9401,999.9893
0.0019,7.6700,13.5686,10.7294,1000.0478,13.5621,11.1022,1000.0478
0.0019,7.8210,13.5647,10.8772,1000.0478,13.5581,11.2529,1000.0478
0.0019,7.9720,13.5706,11.0462,1000.0478,13.5640,11.4259,1000.0478
0.0020,8.1230,13.5647,11.1940,1000.0478,13.5581,11.5765,1000.0478
0.0020,8.2741,13.5607,11.3419,999.9893,13.5550,11.7269,999.9893
0.0020,8.4251,13.5627,11.5108,1000.3404,13.5522,11.9010,1000.3404
0.0020,8.5761,13.5686,11.6692,1000.1648,13.5605,12.0625,1000.1648
0.0020,8.7271,13.5666,11.8171,1000.2234,13.5577,12.2136,1000.2234
0.0020,8.8781,13.5666,11.9649,999.9893,13.5609,12.3637,999.9893
0.0020,9.0291,13.5627,12.1022,1000.1648,13.5546,12.5042,1000.1648
0.0020,9.1801,13.5647,12.2500,1000.1648,13.5565,12.6554,1000.1648
