****Header****
date 01/15/25 03:18:51
****Body****

All possible value of one measure

Algorithm: SmartSweep_HL#1736329709
AlphaMC:	   0.0000
CalibAuthor: eng
CalibCheckAuthor: N/A
CalibValidity:	invalid
ClassBinID:	   1
ClassID:	N/A
ClassName:	TP540HG10-8000011182
Eff:	   0.2104
Emissivity:	   1.0000
FF:	   0.7974
Fcp:	   1.0270
FcsCC:	   1.0031
FcsMC:	   1.0013
Fcv:	   0.9998
FlashCountAtLastCalib:	1793620
FlashCountAtLastCalibCheck:	N/A
Gavg:	1000.4248
Gtgt:	1000.0000
InstID:	1736329709
InstName: New Sec Cal A8BC4CB
InstType: TP540HG10
InstComment: Silver
Ipmax:	  12.9216
Iref1:	  13.5863
Iref2:	N/A
Isc:	  13.5838
Ivrev1:	N/A
Ivrev2:	N/A
LTI:	   0.0011
LastCalibTime: 2025-01-14 17:38:01
LastCheckTime: N/A
MachStatus:	At Risk
MeasDate:	2025-01-15 03:18:51.070000
MeasStatus:	Ok
Mep: MepSmartSweep
Now: 2025-01-15 03:18:51.272000
Pmax:	 542.2248
Pref1:	   0.0000
Pref2:	N/A
RefDUTIsc:	  13.4160
RefDUTName: New Sec Cal A8BC4CB
RefDUTPmax:	 534.0300
RefDUTSnr:	A8BC4CB
RefDUTType:	Golden
RefDUTVoc:	  49.3210
RemFlashCountForCalib:	1774.0000
Rs:	   0.2827
Rsh:  614.8030
Snr: A8C7A0D
SortingRcpID:	1697254895
SortingRcpName:	TP540 30MM-AIKO-Short cable white tedler(Non DCR)
TempDUT:	  24.8138
TempMC:	  24.5715
TempTgt:   25.0000
Transmissivity:	   1.0000
UserDisplayName: 
UserName: 
UserRole: ENGINEER
Voc:	  50.0608
Vpmax:	  41.9627
Vref1:	N/A
Vrev1:	N/A
Vrev2:	N/A
sessionId: 3c280c8b-58d7-41c5-894f-31515369f18d

-----------------------

IV curve data :

TimeOffset,Vimp,Iraw,Vraw,Graw,Current,Voltage,Irradiance
0.0019,5.7069,13.5647,8.7125,999.6968,13.5699,8.8679,999.6968
0.0019,5.8579,13.5666,8.8920,999.5213,13.5742,9.0507,999.5213
0.0019,6.0089,13.5666,9.0292,999.8723,13.5695,9.1923,999.8723
0.0019,6.1599,13.5686,9.1982,999.8138,13.5722,9.3648,999.8138
0.0019,6.3109,13.5647,9.3249,999.7553,13.5691,9.4936,999.7553
0.0019,6.4619,13.5627,9.4833,999.8723,13.5655,9.6557,999.8723
0.0019,6.6130,13.5627,9.6417,999.6968,13.5679,9.8168,999.6968
0.0019,6.7640,13.5706,9.8107,999.8723,13.5734,9.9906,999.8723
0.0019,6.9150,13.5686,9.9374,999.8138,13.5722,10.1197,999.8138
0.0019,7.0660,13.5706,10.0958,999.8138,13.5742,10.2816,999.8138
0.0019,7.2170,13.5686,10.2648,1000.1648,13.5675,10.4553,1000.1648
0.0019,7.3680,13.5706,10.4126,1000.0478,13.5710,10.6060,1000.0478
0.0019,7.5190,13.5666,10.5710,1000.1063,13.5663,10.7677,1000.1063
0.0019,7.6700,13.5706,10.7188,1000.1063,13.5702,10.9190,1000.1063
0.0019,7.8210,13.5647,10.8983,1000.1063,13.5643,11.1019,1000.1063
0.0019,7.9720,13.5627,11.0356,999.9893,13.5639,11.2414,999.9893
0.0020,8.1230,13.5666,11.2151,1000.1063,13.5663,11.4255,1000.1063
0.0020,8.2741,13.5706,11.3524,1000.2234,13.5686,11.5665,1000.2234
0.0020,8.4251,13.5706,11.4897,1000.3989,13.5662,11.7074,1000.3989
0.0020,8.5761,13.5686,11.6587,1000.2234,13.5667,11.8791,1000.2234
0.0020,8.7271,13.5627,11.8065,1000.4574,13.5576,12.0305,1000.4574
0.0020,8.8781,13.5607,11.9649,1000.2234,13.5588,12.1912,1000.2234
0.0020,9.0291,13.5627,12.1339,1000.2234,13.5608,12.3639,1000.2234
0.0020,9.1801,13.5627,12.2817,1000.2819,13.5600,12.5151,1000.2819
0.0020,9.3311,13.5666,12.4084,1000.2819,13.5639,12.6449,1000.2819
0.0020,9.4821,13.5725,12.5774,1000.3404,13.5690,12.8181,1000.3404
0.0020,9.6331,13.5627,12.7252,1000.2234,13.5608,12.9678,1000.2234
0.0020,9.7842,13.5627,12.8836,1000.2234,13.5608,13.1296,1000.2234
0.0020,9.9352,13.5686,13.0420,1000.3989,13.5643,13.2925,1000.3989
0.0020,10.0862,13.5647,13.1898,1000.2819,13.5619,13.4427,1000.2819
0.0020,10.2372,13.5607,13.3799,1000.3989,13.5564,13.6370,1000.3989
0.0020,10.3882,13.5627,13.5278,1000.2819,13.5600,13.7877,1000.2819
0.0020,10.5392,13.5627,13.6439,1000.4574,13.5576,13.9070,1000.4574
0.0020,10.6902,13.5627,13.8234,1000.3404,13.5592,14.0899,1000.3404
0.0020,10.8412,13.5647,13.9818,1000.2819,13.5619,14.2516,1000.2819
0.0021,10.9922,13.5627,14.1191,1000.4574,13.5576,14.3923,1000.4574
0.0021,11.1432,13.5627,14.2881,1000.3989,13.5584,14.5646,1000.3989
0.0021,11.2943,13.5627,14.4359,1000.3989,13.5584,14.7156,1000.3989
0.0021,11.4453,13.5607,14.5626,1000.3404,13.5572,14.8446,1000.3404
0.0021,11.5963,13.5588,14.7210,1000.2819,13.5560,15.0060,1000.2819
