****Header****
date 01/15/25 03:35:58
****Body****

All possible value of one measure

Algorithm: SmartSweep_HL#1736329709
AlphaMC:	   0.0000
CalibAuthor: eng
CalibCheckAuthor: N/A
CalibValidity:	invalid
ClassBinID:	   2
ClassID:	N/A
ClassName:	TP545HG10-8000011181
Eff:	   0.2119
Emissivity:	   1.0000
FF:	   0.8032
Fcp:	   1.0270
FcsCC:	   1.0031
FcsMC:	   1.0013
Fcv:	   0.9998
FlashCountAtLastCalib:	1793620
FlashCountAtLastCalibCheck:	N/A
Gavg:	1000.5068
Gtgt:	1000.0000
InstID:	1736329709
InstName: New Sec Cal A8BC4CB
InstType: TP540HG10
InstComment: Silver
Ipmax:	  12.9438
Iref1:	  13.6073
Iref2:	N/A
Isc:	  13.5993
Ivrev1:	N/A
Ivrev2:	N/A
LTI:	   0.0013
LastCalibTime: 2025-01-14 17:38:01
LastCheckTime: N/A
MachStatus:	At Risk
MeasDate:	2025-01-15 03:35:58.216000
MeasStatus:	Ok
Mep: MepSmartSweep
Now: 2025-01-15 03:35:58.445000
Pmax:	 546.0381
Pref1:	   0.0000
Pref2:	N/A
RefDUTIsc:	  13.4160
RefDUTName: New Sec Cal A8BC4CB
RefDUTPmax:	 534.0300
RefDUTSnr:	A8BC4CB
RefDUTType:	Golden
RefDUTVoc:	  49.3210
RemFlashCountForCalib:	1757.0000
Rs:	   0.2686
Rsh:  594.2501
Snr: A8C7A0F
SortingRcpID:	1697254895
SortingRcpName:	TP540 30MM-AIKO-Short cable white tedler(Non DCR)
TempDUT:	  26.7726
TempMC:	  24.4821
TempTgt:   25.0000
Transmissivity:	   1.0000
UserDisplayName: 
UserName: 
UserRole: ENGINEER
Voc:	  49.9909
Vpmax:	  42.1852
Vref1:	N/A
Vrev1:	N/A
Vrev2:	N/A
sessionId: 29c3c37c-aa32-4e07-9516-f8d38b15f57a

-----------------------

IV curve data :

TimeOffset,Vimp,Iraw,Vraw,Graw,Current,Voltage,Irradiance
0.0021,13.5594,13.5824,16.7591,1000.1648,13.5697,17.3730,1000.1648
0.0021,13.7104,13.5843,16.9175,1000.1648,13.5716,17.5350,1000.1648
0.0021,13.8614,13.5843,17.0759,1000.2819,13.5700,17.6972,1000.2819
0.0022,14.0124,13.5902,17.2237,1000.2819,13.5759,17.8486,1000.2819
0.0022,14.1634,13.5843,17.3821,1000.2234,13.5708,18.0097,1000.2234
0.0022,14.3144,13.5843,17.5405,1000.3404,13.5692,18.1719,1000.3404
0.0022,14.4655,13.5843,17.7095,1000.3404,13.5692,18.3445,1000.3404
0.0022,14.6165,13.5843,17.8573,1000.2819,13.5700,18.4953,1000.2819
0.0022,14.7675,13.5824,18.0051,1000.2819,13.5681,18.6461,1000.2819
0.0022,14.9185,13.5804,18.1530,1000.3989,13.5645,18.7974,1000.3989
0.0022,15.0695,13.5784,18.2903,1000.3989,13.5625,18.9374,1000.3989
0.0022,15.2205,13.5784,18.4909,1000.3989,13.5625,19.1423,1000.3989
0.0022,15.3715,13.5804,18.6282,1000.3989,13.5645,19.2827,1000.3989
0.0022,15.5225,13.5765,18.7655,1000.3404,13.5614,19.4224,1000.3404
0.0022,15.6735,13.5843,18.9344,1000.2234,13.5708,19.5951,1000.2234
0.0022,15.8245,13.5765,19.0823,1000.2819,13.5622,19.7457,1000.2819
0.0022,15.9756,13.5804,19.2195,1000.5159,13.5629,19.8871,1000.5159
0.0022,16.1266,13.5784,19.4096,1000.3404,13.5633,20.0804,1000.3404
0.0022,16.2776,13.5765,19.5680,1000.2819,13.5622,20.2418,1000.2819
0.0022,16.4286,13.5745,19.6842,1000.3404,13.5594,20.3605,1000.3404
0.0022,16.5796,13.5725,19.8320,1000.3404,13.5574,20.5113,1000.3404
0.0022,16.7285,13.5745,20.0115,1000.4574,13.5578,20.6953,1000.4574
0.0022,16.8771,13.5784,20.1699,1000.4574,13.5617,20.8573,1000.4574
