****Header****
date 01/15/25 05:01:00
****Body****

All possible value of one measure

Algorithm: SmartSweep_HL#1736329709
AlphaMC:	   0.0000
CalibAuthor: eng
CalibCheckAuthor: N/A
CalibValidity:	invalid
ClassBinID:	   3
ClassID:	N/A
ClassName:	TP550HG10-8000011180
Eff:	   0.2137
Emissivity:	   1.0000
FF:	   0.8075
Fcp:	   1.0270
FcsCC:	   1.0031
FcsMC:	   1.0013
Fcv:	   0.9998
FlashCountAtLastCalib:	1793620
FlashCountAtLastCalibCheck:	N/A
Gavg:	1000.5270
Gtgt:	1000.0000
InstID:	1736329709
InstName: New Sec Cal A8BC4CB
InstType: TP540HG10
InstComment: Silver
Ipmax:	  12.9666
Iref1:	  13.5851
Iref2:	N/A
Isc:	  13.5734
Ivrev1:	N/A
Ivrev2:	N/A
LTI:	   0.0016
LastCalibTime: 2025-01-14 17:38:01
LastCheckTime: N/A
MachStatus:	At Risk
MeasDate:	2025-01-15 05:01:00.464000
MeasStatus:	Ok
Mep: MepSmartSweep
Now: 2025-01-15 05:01:00.657000
Pmax:	 550.8111
Pref1:	   0.0000
Pref2:	N/A
RefDUTIsc:	  13.4160
RefDUTName: New Sec Cal A8BC4CB
RefDUTPmax:	 534.0300
RefDUTSnr:	A8BC4CB
RefDUTType:	Golden
RefDUTVoc:	  49.3210
RemFlashCountForCalib:	1668.0000
Rs:	   0.2593
Rsh:  525.7810
Snr: A8C7A1F
SortingRcpID:	1697254895
SortingRcpName:	TP540 30MM-AIKO-Short cable white tedler(Non DCR)
TempDUT:	  24.1589
TempMC:	  23.9457
TempTgt:   25.0000
Transmissivity:	   1.0000
UserDisplayName: 
UserName: 
UserRole: ENGINEER
Voc:	  50.2525
Vpmax:	  42.4793
Vref1:	N/A
Vrev1:	N/A
Vrev2:	N/A
sessionId: 217cfb7c-9f1a-488b-bcb2-6b6ff9eaa365

-----------------------

IV curve data :

TimeOffset,Vimp,Iraw,Vraw,Graw,Current,Voltage,Irradiance
0.0022,14.1634,13.5411,17.3610,1000.1063,13.5446,17.6040,1000.1063
0.0022,14.3144,13.5430,17.5299,1000.1063,13.5466,17.7767,1000.1063
0.0022,14.4655,13.5391,17.6883,999.9893,13.5442,17.9377,999.9893
0.0022,14.6165,13.5430,17.8467,1000.2234,13.5450,18.1006,1000.2234
0.0022,14.7675,13.5430,17.9946,1000.2819,13.5442,18.2518,1000.2819
0.0022,14.9185,13.5391,18.1530,1000.2819,13.5403,18.4132,1000.2819
0.0022,15.0695,13.5430,18.3114,1000.2819,13.5442,18.5753,1000.2819
0.0022,15.2205,13.5411,18.4487,1000.4574,13.5398,18.7159,1000.4574
0.0022,15.3715,13.5372,18.6176,1000.2819,13.5383,18.8876,1000.2819
0.0022,15.5225,13.5372,18.7760,1000.3404,13.5375,19.0495,1000.3404
0.0022,15.6735,13.5372,18.9344,1000.3404,13.5375,19.2113,1000.3404
0.0022,15.8245,13.5391,19.0823,1000.5159,13.5371,19.3630,1000.5159
0.0022,15.9756,13.5391,19.2090,1000.4574,13.5379,19.4922,1000.4574
0.0022,16.1266,13.5411,19.3885,1000.3989,13.5406,19.6755,1000.3989
0.0022,16.2776,13.5352,19.5469,1000.3989,13.5347,19.8367,1000.3989
0.0022,16.4286,13.5352,19.6947,1000.7499,13.5300,19.9889,1000.7499
0.0022,16.5796,13.5352,19.8426,1000.7499,13.5300,20.1399,1000.7499
0.0022,16.7285,13.5332,19.9904,1000.7499,13.5280,20.2907,1000.7499
0.0022,16.8771,13.5313,20.1382,1000.6329,13.5276,20.4411,1000.6329
0.0022,17.0258,13.5352,20.2966,1000.6329,13.5316,20.6032,1000.6329
0.0023,17.1744,13.5313,20.4445,1000.5744,13.5284,20.7536,1000.5744
0.0023,17.3231,13.5313,20.6029,1000.6329,13.5276,20.9156,1000.6329
0.0023,17.4717,13.5293,20.7507,1000.8084,13.5233,21.0670,1000.8084
0.0023,17.6204,13.5273,20.8985,1000.6914,13.5229,21.2174,1000.6914
0.0023,17.7690,13.5293,21.0675,1000.6914,13.5249,21.3901,1000.6914
0.0023,17.9177,13.5254,21.2259,1000.5159,13.5233,21.5509,1000.5159
0.0023,18.0663,13.5254,21.3526,1000.5744,13.5225,21.6805,1000.5744
0.0023,18.2150,13.5254,21.5110,1000.6914,13.5209,21.8427,1000.6914
0.0023,18.3636,13.5293,21.6589,1000.6329,13.5257,21.9938,1000.6329
0.0023,18.5123,13.5273,21.8173,1000.5744,13.5245,22.1551,1000.5744
0.0023,18.6585,13.5254,21.9651,1000.5744,13.5225,22.3060,1000.5744
0.0023,18.8019,13.5234,22.1341,1000.6914,13.5190,22.4787,1000.6914
0.0023,18.9453,13.5234,22.2608,1000.5159,13.5214,22.6075,1000.5159
0.0023,19.0887,13.5254,22.4192,1000.7499,13.5201,22.7703,1000.7499
0.0023,19.2321,13.5234,22.5670,1000.6329,13.5198,22.9207,1000.6329
0.0023,19.3755,13.5234,22.7148,1000.6329,13.5198,23.0716,1000.6329
0.0023,19.5189,13.5155,22.8627,1000.5159,13.5135,23.2216,1000.5159
0.0023,19.6623,13.5195,23.0211,1000.2819,13.5206,23.3828,1000.2819
0.0023,19.8057,13.5195,23.1584,1000.5159,13.5174,23.5238,1000.5159
0.0024,19.9491,13.5155,23.3062,1000.3989,13.5151,23.6740,1000.3989
0.0024,20.0925,13.5155,23.4752,1000.3404,13.5159,23.8464,1000.3404
0.0024,20.2359,13.5116,23.5913,1000.4574,13.5104,23.9651,1000.4574
0.0024,20.3793,13.5175,23.7497,1000.3404,13.5178,24.1269,1000.3404
0.0024,20.5226,13.5175,23.8976,1000.3404,13.5178,24.2779,1000.3404
0.0024,20.6583,13.5195,24.0137,1000.3404,13.5198,24.3966,1000.3404
0.0024,20.7939,13.5195,24.1616,1000.2234,13.5214,24.5472,1000.2234
0.0024,20.9295,13.5195,24.3199,1000.2819,13.5206,24.7091,1000.2819
0.0024,21.0651,13.5195,24.4467,1000.1063,13.5230,24.8379,1000.1063
0.0024,21.2008,13.5116,24.6051,1000.1648,13.5143,24.9993,1000.1648
0.0024,21.3364,13.5136,24.7318,999.9893,13.5187,25.1282,999.9893
0.0024,21.4720,13.5155,24.8796,1000.2234,13.5175,25.2801,1000.2234
0.0024,21.6076,13.5155,25.0063,1000.2234,13.5175,25.4095,1000.2234
0.0024,21.7433,13.5175,25.1753,999.9308,13.5234,25.5812,999.9308
0.0024,21.8789,13.5175,25.3020,999.9893,13.5226,25.7108,999.9893
0.0024,22.0145,13.5116,25.4182,999.9308,13.5175,25.8288,999.9308
0.0024,22.1501,13.5096,25.5660,999.8138,13.5171,25.9792,999.8138
0.0024,22.2858,13.5077,25.7139,999.8723,13.5144,26.1302,999.8723
0.0024,22.4160,13.5096,25.8511,999.8723,13.5163,26.2705,999.8723
0.0024,22.5419,13.5116,25.9884,999.7553,13.5199,26.4104,999.7553
0.0024,22.6678,13.5057,26.1362,999.8138,13.5132,26.5611,999.8138
0.0025,22.7938,13.5057,26.2630,999.6968,13.5148,26.6901,999.6968
0.0025,22.9197,13.5077,26.3791,999.8138,13.5152,26.8093,999.8138
0.0025,23.0457,13.5057,26.5375,999.8138,13.5132,26.9709,999.8138
0.0025,23.1716,13.5077,26.6537,999.6968,13.5167,27.0893,999.6968
0.0025,23.2975,13.5077,26.7910,999.8138,13.5152,27.2299,999.8138
0.0025,23.4235,13.5136,26.9177,999.7553,13.5218,27.3595,999.7553
0.0025,23.5494,13.5096,27.0550,999.6383,13.5195,27.4990,999.6383
0.0025,23.6753,13.5057,27.1922,999.8138,13.5132,27.6395,999.8138
0.0025,23.8013,13.5057,27.3190,999.8723,13.5124,27.7691,999.8723
0.0025,23.9272,13.5077,27.4457,999.9308,13.5136,27.8988,999.9308
0.0025,24.0519,13.5077,27.5618,999.6968,13.5167,28.0166,999.6968
0.0025,24.1669,13.5077,27.6991,999.8723,13.5144,28.1574,999.8723
0.0025,24.2819,13.5057,27.8258,999.8723,13.5124,28.2867,999.8723
0.0025,24.3969,13.5018,27.9525,999.6968,13.5108,28.4152,999.6968
0.0025,24.5119,13.5037,28.0793,999.8138,13.5112,28.5451,999.8138
0.0025,24.6269,13.5077,28.1954,999.9893,13.5128,28.6647,999.9893
0.0025,24.7419,13.5057,28.3010,999.9308,13.5116,28.7721,999.9308
0.0025,24.8569,13.5077,28.4277,999.8723,13.5144,28.9015,999.8723
0.0025,24.9719,13.5077,28.5545,1000.1063,13.5112,29.0317,1000.1063
0.0026,25.0869,13.5077,28.6706,1000.0478,13.5120,29.1501,1000.0478
0.0026,25.2019,13.5057,28.7762,1000.1063,13.5092,29.2580,1000.1063
0.0026,25.3169,13.5018,28.8924,1000.0478,13.5061,29.3761,1000.0478
0.0026,25.4319,13.5077,28.9980,999.8723,13.5144,29.4838,999.8723
0.0026,25.5469,13.5037,29.1141,1000.1648,13.5065,29.6031,1000.1648
0.0026,25.6542,13.5057,29.2303,1000.2234,13.5076,29.7221,1000.2234
0.0026,25.7576,13.5057,29.3464,1000.1063,13.5092,29.8403,1000.1063
0.0026,25.8611,13.5077,29.4626,999.9893,13.5128,29.9587,999.9893
0.0026,25.9645,13.5057,29.5999,1000.1648,13.5084,30.0993,1000.1648
0.0026,26.0680,13.5077,29.6949,1000.2234,13.5096,30.1967,1000.2234
0.0026,26.1714,13.5057,29.8111,1000.1063,13.5092,30.3148,1000.1063
0.0026,26.2749,13.4998,29.9272,1000.1648,13.5025,30.4331,1000.1648
0.0026,26.3783,13.5057,30.0328,1000.3989,13.5053,30.5422,1000.3989
0.0026,26.4818,13.5037,30.1279,1000.3404,13.5041,30.6389,1000.3404
0.0026,26.5852,13.5057,30.2335,1000.1648,13.5084,30.7463,1000.1648
0.0026,26.6886,13.5037,30.3391,1000.2819,13.5049,30.8544,1000.2819
0.0026,26.7921,13.5018,30.4341,1000.3989,13.5013,30.9517,1000.3989
0.0026,26.8955,13.4978,30.5503,1000.4574,13.4966,31.0702,1000.4574
0.0026,26.9965,13.4978,30.6559,1000.5744,13.4950,31.1784,1000.5744
0.0026,27.0883,13.4998,30.7509,1000.3404,13.5002,31.2748,1000.3404
0.0027,27.1801,13.5018,30.8565,1000.2819,13.5029,31.3826,1000.2819
0.0027,27.2720,13.4978,30.9515,1000.4574,13.4966,31.4800,1000.4574
0.0027,27.3638,13.4998,31.0677,1000.4574,13.4986,31.5987,1000.4574
0.0027,27.4557,13.4998,31.1627,1000.3989,13.4994,31.6956,1000.3989
0.0027,27.5475,13.4998,31.2472,1000.5159,13.4978,31.7823,1000.5159
0.0027,27.6394,13.5018,31.3528,1000.5744,13.4989,31.8905,1000.5744
0.0027,27.7312,13.4978,31.4479,1000.5744,13.4950,31.9872,1000.5744
0.0027,27.8231,13.4978,31.5535,1000.6329,13.4942,32.0952,1000.6329
0.0027,27.9149,13.5018,31.6379,1000.8084,13.4958,32.1824,1000.8084
0.0027,28.0068,13.4959,31.7541,1000.6914,13.4915,32.3002,1000.6914
0.0027,28.0986,13.4998,31.8280,1000.4574,13.4986,32.3751,1000.4574
0.0027,28.1904,13.4978,31.9231,1000.3404,13.4982,32.4716,1000.3404
0.0027,28.2737,13.4919,32.0181,1000.5159,13.4899,32.5688,1000.5159
0.0027,28.3543,13.4919,32.1026,1000.4574,13.4907,32.6549,1000.4574
0.0027,28.4349,13.4939,32.1976,1000.5744,13.4911,32.7525,1000.5744
0.0027,28.5156,13.4939,32.2821,1000.4574,13.4927,32.8384,1000.4574
0.0027,28.5962,13.4919,32.3666,1000.8670,13.4851,32.9259,1000.8670
0.0027,28.6769,13.4939,32.4933,1000.7499,13.4887,33.0551,1000.7499
0.0027,28.7575,13.4919,32.5567,1000.3989,13.4915,33.1184,1000.3989
0.0027,28.8382,13.4919,32.6411,1000.5744,13.4891,33.2052,1000.5744
0.0027,28.9188,13.4939,32.7150,1000.3989,13.4935,33.2803,1000.3989
0.0028,28.9994,13.4939,32.7995,1000.5744,13.4911,33.3672,1000.5744
0.0028,29.0801,13.4959,32.8840,1000.5159,13.4938,33.4534,1000.5159
0.0028,29.1607,13.4900,32.9579,1000.4574,13.4887,33.5282,1000.4574
0.0028,29.2414,13.4880,33.0213,1000.4574,13.4868,33.5927,1000.4574
0.0028,29.3186,13.4900,33.1269,1000.5159,13.4879,33.7009,1000.5159
0.0028,29.3888,13.4880,33.1797,1000.5159,13.4860,33.7547,1000.5159
0.0028,29.4589,13.4900,33.2853,1000.3989,13.4895,33.8623,1000.3989
0.0028,29.5291,13.4939,33.3486,1000.3404,13.4943,33.9271,1000.3404
0.0028,29.5993,13.4939,33.4437,1000.4574,13.4927,34.0245,1000.4574
0.0028,29.6694,13.4919,33.5282,1000.3404,13.4923,34.1102,1000.3404
0.0028,29.7396,13.4841,33.5810,1000.4574,13.4828,34.1639,1000.4574
0.0028,29.8097,13.4860,33.6549,1000.2819,13.4872,34.2390,1000.2819
0.0028,29.8799,13.4900,33.7182,1000.2819,13.4911,34.3040,1000.2819
0.0028,29.9500,13.4900,33.8027,1000.2234,13.4919,34.3900,1000.2234
