****Header****
date 01/15/25 06:21:04
****Body****

All possible value of one measure

Algorithm: SmartSweep_HL#1736329709
AlphaMC:	   0.0000
CalibAuthor: eng
CalibCheckAuthor: N/A
CalibValidity:	invalid
ClassBinID:	   2
ClassID:	N/A
ClassName:	TP545HG10-8000011181
Eff:	   0.2116
Emissivity:	   1.0000
FF:	   0.8008
Fcp:	   1.0270
FcsCC:	   1.0031
FcsMC:	   1.0013
Fcv:	   0.9998
FlashCountAtLastCalib:	1793620
FlashCountAtLastCalibCheck:	N/A
Gavg:	1000.5619
Gtgt:	1000.0000
InstID:	1736329709
InstName: New Sec Cal A8BC4CB
InstType: TP540HG10
InstComment: Silver
Ipmax:	  12.9363
Iref1:	  13.5672
Iref2:	N/A
Isc:	  13.5667
Ivrev1:	N/A
Ivrev2:	N/A
LTI:	   0.0015
LastCalibTime: 2025-01-14 17:38:01
LastCheckTime: N/A
MachStatus:	At Risk
MeasDate:	2025-01-15 06:21:03.807000
MeasStatus:	Ok
Mep: MepSmartSweep
Now: 2025-01-15 06:21:04.268000
Pmax:	 545.3422
Pref1:	   0.0000
Pref2:	N/A
RefDUTIsc:	  13.4160
RefDUTName: New Sec Cal A8BC4CB
RefDUTPmax:	 534.0300
RefDUTSnr:	A8BC4CB
RefDUTType:	Golden
RefDUTVoc:	  49.3210
RemFlashCountForCalib:	1595.0000
Rs:	   0.2747
Rsh:  534.2642
Snr: A8C7A2A
SortingRcpID:	1697254895
SortingRcpName:	TP540 30MM-AIKO-Short cable white tedler(Non DCR)
TempDUT:	  23.5491
TempMC:	  24.3927
TempTgt:   25.0000
Transmissivity:	   1.0000
UserDisplayName: 
UserName: 
UserRole: ENGINEER
Voc:	  50.1941
Vpmax:	  42.1558
Vref1:	N/A
Vrev1:	N/A
Vrev2:	N/A
sessionId: b452bc51-1b50-482b-8e35-4dfe4f86c785

-----------------------

IV curve data :

TimeOffset,Vimp,Iraw,Vraw,Graw,Current,Voltage,Irradiance
0.0021,10.9922,13.5313,14.1191,999.8138,13.5423,14.2037,999.8138
0.0021,11.1432,13.5332,14.2669,999.6968,13.5459,14.3544,999.6968
0.0021,11.2943,13.5332,14.4042,999.6383,13.5467,14.4944,999.6383
0.0021,11.4453,13.5293,14.5837,999.6383,13.5428,14.6774,999.6383
0.0021,11.5963,13.5332,14.7421,999.4627,13.5491,14.8388,999.4627
0.0021,11.7473,13.5313,14.9005,999.5798,13.5455,15.0008,999.5798
0.0021,11.8983,13.5313,15.0589,999.6383,13.5447,15.1628,999.6383
0.0021,12.0493,13.5352,15.2068,999.5213,13.5502,15.3136,999.5213
0.0021,12.2003,13.5313,15.3546,999.5798,13.5455,15.4645,999.5798
0.0021,12.3513,13.5332,15.5130,999.4627,13.5491,15.6260,999.4627
0.0021,12.5023,13.5313,15.6609,999.5213,13.5463,15.7770,999.5213
0.0021,12.6533,13.5273,15.8192,999.5213,13.5424,15.9385,999.5213
0.0021,12.8044,13.5293,15.9671,999.6383,13.5428,16.0900,999.6383
0.0021,12.9554,13.5332,16.1360,999.6383,13.5467,16.2629,999.6383
0.0021,13.1064,13.5352,16.2944,999.6968,13.5479,16.4250,999.6968
0.0021,13.2574,13.5254,16.4528,999.6968,13.5380,16.5860,999.6968
0.0021,13.4084,13.5273,16.6007,999.5798,13.5416,16.7367,999.5798
0.0021,13.5594,13.5313,16.7485,999.6383,13.5447,16.8882,999.6383
0.0021,13.7104,13.5293,16.9069,999.6968,13.5420,17.0500,999.6968
0.0021,13.8614,13.5332,17.0759,999.8138,13.5443,17.2233,999.8138
0.0022,14.0124,13.5273,17.1920,999.6968,13.5400,17.3410,999.6968
0.0022,14.1634,13.5254,17.3821,999.7553,13.5372,17.5351,999.7553
0.0022,14.3144,13.5332,17.5616,999.6383,13.5467,17.7186,999.6383
0.0022,14.4655,13.5313,17.6883,999.8723,13.5415,17.8488,999.8723
0.0022,14.6165,13.5352,17.8679,999.8723,13.5455,18.0324,999.8723
0.0022,14.7675,13.5391,18.0157,1000.1063,13.5462,18.1845,1000.1063
0.0022,14.9185,13.5293,18.1741,999.8723,13.5396,18.3446,999.8723
0.0022,15.0695,13.5273,18.3114,999.9893,13.5360,18.4851,999.9893
0.0022,15.2205,13.5332,18.4698,1000.1063,13.5403,18.6478,1000.1063
0.0022,15.3715,13.5332,18.6071,1000.2234,13.5388,18.7884,1000.2234
0.0022,15.5225,13.5313,18.7866,1000.2234,13.5368,18.9716,1000.2234
0.0022,15.6735,13.5293,18.9450,1000.1648,13.5356,19.1329,1000.1648
0.0022,15.8245,13.5313,19.0823,1000.3404,13.5352,19.2739,1000.3404
0.0022,15.9756,13.5273,19.2406,1000.3404,13.5313,19.4354,1000.3404
0.0022,16.1266,13.5293,19.3990,1000.3404,13.5332,19.5973,1000.3404
0.0022,16.2776,13.5254,19.5152,1000.5159,13.5269,19.7162,1000.5159
0.0022,16.4286,13.5254,19.7053,1000.4574,13.5277,19.9101,1000.4574
0.0022,16.5796,13.5254,19.8531,1000.5159,13.5269,20.0613,1000.5159
0.0022,16.7285,13.5234,19.9904,1000.4574,13.5258,20.2011,1000.4574
0.0022,16.8771,13.5214,20.1594,1000.3404,13.5254,20.3731,1000.3404
0.0022,17.0258,13.5234,20.2966,1000.3989,13.5265,20.5136,1000.3989
0.0023,17.1744,13.5234,20.4656,1000.5744,13.5242,20.6868,1000.5744
