****Header****
date 01/15/25 03:30:16
****Body****

All possible value of one measure

Algorithm: SmartSweep_HL#1736329709
AlphaMC:	   0.0000
CalibAuthor: eng
CalibCheckAuthor: N/A
CalibValidity:	invalid
ClassBinID:	   2
ClassID:	N/A
ClassName:	TP545HG10-8000011181
Eff:	   0.2129
Emissivity:	   1.0000
FF:	   0.8071
Fcp:	   1.0270
FcsCC:	   1.0031
FcsMC:	   1.0013
Fcv:	   0.9998
FlashCountAtLastCalib:	1793620
FlashCountAtLastCalibCheck:	N/A
Gavg:	1000.5280
Gtgt:	1000.0000
InstID:	1736329709
InstName: New Sec Cal A8BC4CB
InstType: TP540HG10
InstComment: Silver
Ipmax:	  12.9602
Iref1:	  13.5819
Iref2:	N/A
Isc:	  13.5801
Ivrev1:	N/A
Ivrev2:	N/A
LTI:	   0.0011
LastCalibTime: 2025-01-14 17:38:01
LastCheckTime: N/A
MachStatus:	At Risk
MeasDate:	2025-01-15 03:30:16.742000
MeasStatus:	Ok
Mep: MepSmartSweep
Now: 2025-01-15 03:30:16.969000
Pmax:	 548.6479
Pref1:	   0.0000
Pref2:	N/A
RefDUTIsc:	  13.4160
RefDUTName: New Sec Cal A8BC4CB
RefDUTPmax:	 534.0300
RefDUTSnr:	A8BC4CB
RefDUTType:	Golden
RefDUTVoc:	  49.3210
RemFlashCountForCalib:	1764.0000
Rs:	   0.2579
Rsh:  649.5431
Snr: A8C7A0B
SortingRcpID:	1697254895
SortingRcpName:	TP540 30MM-AIKO-Short cable white tedler(Non DCR)
TempDUT:	  24.4354
TempMC:	  24.5715
TempTgt:   25.0000
Transmissivity:	   1.0000
UserDisplayName: 
UserName: 
UserRole: ENGINEER
Voc:	  50.0582
Vpmax:	  42.3333
Vref1:	N/A
Vrev1:	N/A
Vrev2:	N/A
sessionId: 523c2781-5fb1-439d-9ef6-5fc327a3e6fb

-----------------------

IV curve data :

TimeOffset,Vimp,Iraw,Vraw,Graw,Current,Voltage,Irradiance
0.0019,6.3109,13.5607,9.3249,999.8138,13.5666,9.4389,999.8138
0.0019,6.4619,13.5627,9.4516,999.6968,13.5701,9.5681,999.6968
0.0019,6.6130,13.5627,9.6206,999.6968,13.5701,9.7406,999.6968
0.0019,6.7640,13.5647,9.7896,999.9893,13.5681,9.9144,999.9893
0.0019,6.9150,13.5666,9.9480,1000.1063,13.5685,10.0767,1000.1063
0.0019,7.0660,13.5627,10.0958,999.8723,13.5678,10.2266,999.8723
0.0019,7.2170,13.5607,10.2753,999.7553,13.5674,10.4093,999.7553
0.0019,7.3680,13.5686,10.4126,999.9308,13.5729,10.5508,999.9308
0.0019,7.5190,13.5647,10.5604,999.9893,13.5681,10.7016,999.9893
0.0019,7.6700,13.5607,10.7188,999.9893,13.5642,10.8631,999.9893
0.0019,7.8210,13.5627,10.8878,999.9893,13.5662,11.0358,999.9893
0.0019,7.9720,13.5627,11.0251,999.8138,13.5686,11.1754,999.8138
0.0020,8.1230,13.5627,11.1729,999.9893,13.5662,11.3270,999.9893
0.0020,8.2741,13.5647,11.3419,999.9308,13.5689,11.4995,999.9308
0.0020,8.4251,13.5647,11.5003,999.8138,13.5705,11.6608,999.8138
0.0020,8.5761,13.5666,11.6375,1000.1648,13.5677,11.8024,1000.1648
0.0020,8.7271,13.5647,11.7959,1000.2234,13.5650,11.9642,1000.2234
0.0020,8.8781,13.5588,11.9543,1000.0478,13.5615,12.1249,1000.0478
0.0020,9.0291,13.5588,12.1233,1000.1063,13.5607,12.2976,1000.1063
0.0020,9.1801,13.5647,12.2606,1000.1063,13.5666,12.4383,1000.1063
0.0020,9.3311,13.5627,12.3978,1000.1648,13.5638,12.5786,1000.1648
0.0020,9.4821,13.5627,12.5562,1000.0478,13.5654,12.7399,1000.0478
0.0020,9.6331,13.5627,12.7146,1000.1063,13.5646,12.9019,1000.1063
0.0020,9.7842,13.5607,12.8836,1000.1648,13.5618,13.0745,1000.1648
0.0020,9.9352,13.5607,13.0314,1000.2819,13.5602,13.2259,1000.2819
0.0020,10.0862,13.5607,13.1687,1000.2819,13.5602,13.3661,1000.2819
0.0020,10.2372,13.5607,13.3482,1000.2234,13.5610,13.5492,1000.2234
0.0020,10.3882,13.5647,13.4961,1000.2819,13.5642,13.7007,1000.2819
0.0020,10.5392,13.5647,13.6439,1000.2234,13.5650,13.8515,1000.2234
0.0020,10.6902,13.5666,13.8023,1000.2234,13.5669,14.0134,1000.2234
0.0020,10.8412,13.5607,13.9607,1000.2234,13.5610,14.1747,1000.2234
0.0021,10.9922,13.5588,14.1191,1000.0478,13.5615,14.3357,1000.0478
0.0021,11.1432,13.5666,14.2669,1000.2234,13.5669,14.4879,1000.2234
