****Header****
date 01/15/25 03:37:16
****Body****

All possible value of one measure

Algorithm: SmartSweep_HL#1736329709
AlphaMC:	   0.0000
CalibAuthor: eng
CalibCheckAuthor: N/A
CalibValidity:	invalid
ClassBinID:	   1
ClassID:	N/A
ClassName:	TP540HG10-8000011182
Eff:	   0.2102
Emissivity:	   1.0000
FF:	   0.8017
Fcp:	   1.0270
FcsCC:	   1.0031
FcsMC:	   1.0013
Fcv:	   0.9998
FlashCountAtLastCalib:	1793620
FlashCountAtLastCalibCheck:	N/A
Gavg:	1000.5424
Gtgt:	1000.0000
InstID:	1736329709
InstName: New Sec Cal A8BC4CB
InstType: TP540HG10
InstComment: Silver
Ipmax:	  12.9418
Iref1:	  13.6176
Iref2:	N/A
Isc:	  13.6173
Ivrev1:	N/A
Ivrev2:	N/A
LTI:	   0.0012
LastCalibTime: 2025-01-14 17:38:01
LastCheckTime: N/A
MachStatus:	At Risk
MeasDate:	2025-01-15 03:37:16.171000
MeasStatus:	Ok
Mep: MepSmartSweep
Now: 2025-01-15 03:37:16.506000
Pmax:	 541.6175
Pref1:	   0.0000
Pref2:	N/A
RefDUTIsc:	  13.4160
RefDUTName: New Sec Cal A8BC4CB
RefDUTPmax:	 534.0300
RefDUTSnr:	A8BC4CB
RefDUTType:	Golden
RefDUTVoc:	  49.3210
RemFlashCountForCalib:	1755.0000
Rs:	   0.2679
Rsh:  528.6208
Snr: A8C7A0C
SortingRcpID:	1697254895
SortingRcpName:	TP540 30MM-AIKO-Short cable white tedler(Non DCR)
TempDUT:	  25.2801
TempMC:	  24.4821
TempTgt:   25.0000
Transmissivity:	   1.0000
UserDisplayName: 
UserName: 
UserRole: ENGINEER
Voc:	  49.6149
Vpmax:	  41.8504
Vref1:	N/A
Vrev1:	N/A
Vrev2:	N/A
sessionId: 85ae8835-4c33-43e8-9d64-47351a8252c6

-----------------------

IV curve data :

TimeOffset,Vimp,Iraw,Vraw,Graw,Current,Voltage,Irradiance
0.0021,12.9554,13.5941,16.1466,999.9893,13.5926,16.5327,999.9893
0.0021,13.1064,13.5883,16.2944,1000.1648,13.5844,16.6839,1000.1648
0.0021,13.2574,13.5883,16.4317,1000.0478,13.5859,16.8237,1000.0478
0.0021,13.4084,13.5883,16.6007,1000.1063,13.5852,16.9965,1000.1063
0.0021,13.5594,13.5843,16.7591,1000.2234,13.5796,17.1584,1000.2234
0.0021,13.7104,13.5902,16.9069,1000.0478,13.5879,17.3092,1000.0478
0.0021,13.8614,13.5863,17.0442,1000.1063,13.5832,17.4494,1000.1063
0.0022,14.0124,13.5883,17.2026,1000.2234,13.5836,17.6117,1000.2234
0.0022,14.1634,13.5843,17.3821,1000.0478,13.5820,17.7942,1000.0478
0.0022,14.3144,13.5883,17.5405,1000.1648,13.5844,17.9567,1000.1648
0.0022,14.4655,13.5863,17.6989,1000.1648,13.5824,18.1184,1000.1648
0.0022,14.6165,13.5843,17.8467,1000.2234,13.5796,18.2694,1000.2234
0.0022,14.7675,13.5824,18.0051,1000.2819,13.5769,18.4313,1000.2819
0.0022,14.9185,13.5824,18.1530,1000.0478,13.5801,18.5815,1000.0478
0.0022,15.0695,13.5824,18.3114,1000.3989,13.5753,18.7446,1000.3989
0.0022,15.2205,13.5804,18.4698,1000.3989,13.5733,18.9062,1000.3989
0.0022,15.3715,13.5902,18.6282,1000.1063,13.5871,19.0677,1000.1063
0.0022,15.5225,13.5902,18.7760,1000.2819,13.5847,19.2194,1000.2819
0.0022,15.6735,13.5824,18.9133,1000.2819,13.5769,19.3590,1000.2819
0.0022,15.8245,13.5843,19.0823,1000.1648,13.5804,19.5313,1000.1648
0.0022,15.9756,13.5843,19.2195,1000.2234,13.5796,19.6717,1000.2234
0.0022,16.1266,13.5883,19.3779,1000.3989,13.5812,19.8345,1000.3989
0.0022,16.2776,13.5863,19.5363,1000.3404,13.5800,19.9959,1000.3404
0.0022,16.4286,13.5824,19.6842,1000.2234,13.5777,20.1462,1000.2234
0.0022,16.5796,13.5883,19.8426,1000.2234,13.5836,20.3085,1000.2234
0.0022,16.7285,13.5843,20.0010,1000.2819,13.5788,20.4702,1000.2819
0.0022,16.8771,13.5843,20.1594,1000.2234,13.5796,20.6318,1000.2234
0.0022,17.0258,13.5863,20.3283,1000.0478,13.5840,20.8039,1000.0478
0.0023,17.1744,13.5824,20.4550,1000.3404,13.5761,20.9341,1000.3404
0.0023,17.3231,13.5824,20.6134,1000.2234,13.5777,21.0955,1000.2234
0.0023,17.4717,13.5765,20.7613,1000.2234,13.5718,21.2460,1000.2234
0.0023,17.6204,13.5863,20.9302,1000.2234,13.5816,21.4194,1000.2234
0.0023,17.7690,13.5863,21.0886,1000.3404,13.5800,21.5816,1000.3404
0.0023,17.9177,13.5804,21.2470,1000.3989,13.5733,21.7432,1000.3989
0.0023,18.0663,13.5804,21.3632,1000.4574,13.5725,21.8620,1000.4574
0.0023,18.2150,13.5804,21.5110,1000.3989,13.5733,22.0128,1000.3989
0.0023,18.3636,13.5765,21.6589,1000.3989,13.5694,22.1635,1000.3989
0.0023,18.5123,13.5765,21.8173,1000.3404,13.5702,22.3251,1000.3404
0.0023,18.6585,13.5765,21.9651,1000.3404,13.5702,22.4762,1000.3404
0.0023,18.8019,13.5784,22.1341,1000.5744,13.5689,22.6498,1000.5744
0.0023,18.9453,13.5784,22.2713,1000.3404,13.5721,22.7891,1000.3404
0.0023,19.0887,13.5765,22.4403,1000.3404,13.5702,22.9616,1000.3404
0.0023,19.2321,13.5725,22.5776,1000.2819,13.5670,23.1013,1000.2819
0.0023,19.3755,13.5765,22.7254,1000.3989,13.5694,23.2530,1000.3989
0.0023,19.5189,13.5745,22.8838,1000.3404,13.5682,23.4145,1000.3404
0.0023,19.6623,13.5725,23.0422,1000.3404,13.5662,23.5761,1000.3404
0.0023,19.8057,13.5745,23.1689,1000.3404,13.5682,23.7057,1000.3404
0.0024,19.9491,13.5745,23.3168,1000.2234,13.5698,23.8563,1000.2234
0.0024,20.0925,13.5725,23.4752,1000.2819,13.5670,24.0182,1000.2819
0.0024,20.2359,13.5765,23.6124,1000.3989,13.5694,24.1591,1000.3989
0.0024,20.3793,13.5784,23.7603,1000.4574,13.5705,24.3105,1000.4574
0.0024,20.5226,13.5804,23.8976,1000.3404,13.5741,24.4505,1000.3404
0.0024,20.6583,13.5765,24.0560,1000.3404,13.5702,24.6120,1000.3404
0.0024,20.7939,13.5745,24.1721,1000.1063,13.5714,24.7296,1000.1063
0.0024,20.9295,13.5706,24.3411,1000.0478,13.5683,24.9017,1000.0478
0.0024,21.0651,13.5725,24.4678,1000.1063,13.5694,25.0315,1000.1063
0.0024,21.2008,13.5765,24.6262,1000.2234,13.5718,25.1940,1000.2234
0.0024,21.3364,13.5765,24.7529,1000.3404,13.5702,25.3239,1000.3404
0.0024,21.4720,13.5725,24.8902,999.9308,13.5718,25.4623,999.9308
0.0024,21.6076,13.5706,25.0275,1000.0478,13.5683,25.6028,1000.0478
0.0024,21.7433,13.5706,25.1859,1000.2819,13.5651,25.7655,1000.2819
0.0024,21.8789,13.5706,25.3020,1000.2819,13.5651,25.8842,1000.2819
0.0024,22.0145,13.5745,25.4393,1000.1648,13.5706,26.0243,1000.1648
0.0024,22.1501,13.5745,25.5977,1000.0478,13.5722,26.1856,1000.0478
0.0024,22.2858,13.5745,25.7244,1000.2234,13.5698,26.3157,1000.2234
0.0024,22.4160,13.5725,25.8828,999.9893,13.5710,26.4765,999.9893
0.0024,22.5419,13.5686,25.9990,1000.1063,13.5655,26.5953,1000.1063
0.0024,22.6678,13.5706,26.1257,1000.1648,13.5667,26.7251,1000.1648
0.0025,22.7938,13.5725,26.2735,1000.1648,13.5686,26.8763,1000.1648
0.0025,22.9197,13.5725,26.4002,1000.1063,13.5694,27.0055,1000.1063
0.0025,23.0457,13.5686,26.5375,1000.0478,13.5663,27.1452,1000.0478
0.0025,23.1716,13.5686,26.6748,1000.2234,13.5639,27.2861,1000.2234
0.0025,23.2975,13.5725,26.8015,1000.3404,13.5662,27.4163,1000.3404
0.0025,23.4235,13.5706,26.9388,1000.3989,13.5635,27.5566,1000.3989
0.0025,23.5494,13.5725,27.0550,1000.2234,13.5678,27.6747,1000.2234
0.0025,23.6753,13.5686,27.1711,1000.2234,13.5639,27.7931,1000.2234
0.0025,23.8013,13.5666,27.2978,1000.2819,13.5611,27.9226,1000.2819
0.0025,23.9272,13.5706,27.4351,1000.2234,13.5659,28.0629,1000.2234
0.0025,24.0519,13.5706,27.5618,1000.1648,13.5667,28.1921,1000.1648
0.0025,24.1669,13.5686,27.6991,1000.3989,13.5615,28.3331,1000.3989
0.0025,24.2819,13.5686,27.8047,1000.1648,13.5647,28.4401,1000.1648
0.0025,24.3969,13.5666,27.9420,1000.0478,13.5643,28.5797,1000.0478
0.0025,24.5119,13.5686,28.0476,1000.1648,13.5647,28.6882,1000.1648
0.0025,24.6269,13.5686,28.1954,1000.0478,13.5663,28.8388,1000.0478
0.0025,24.7419,13.5686,28.3221,1000.2234,13.5639,28.9689,1000.2234
0.0025,24.8569,13.5666,28.4383,1000.2234,13.5619,29.0874,1000.2234
0.0025,24.9719,13.5666,28.5650,1000.1648,13.5627,29.2166,1000.1648
0.0026,25.0869,13.5686,28.6706,1000.2234,13.5639,29.3248,1000.2234
0.0026,25.2019,13.5627,28.7868,1000.1063,13.5596,29.4426,1000.1063
0.0026,25.3169,13.5627,28.8818,1000.3989,13.5556,29.5407,1000.3989
